Released in version:,Subfeature ID,Journey,Add-on,Feature,Sub Feature,Mobile,Web,Essential,Premium,Signature
2022.08-LTS or earlier,CC.8.7.1,Card Management ,,Manage Spending Limits,"Set daily limits on withdrawals, online payments, and terminal purchases",Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.8.8.1,Card Management ,,Manage travel notice ,Create travel notice,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.8.8.2,Card Management ,,Manage travel notice ,List travel notice ,Available ,Available ,true,true,true
2024.04,CC.8.8.3,Card Management ,,Manage travel notice ,Delete travel notice ,Available ,Available ,true,true,true
2024.04,CC.8.8.4,Card Management ,,Manage travel notice ,Edit travel notice ,Available ,Available ,true,true,true
2024.04,CC.8.10.1,Card Management ,,Order new card,Order a new physical card,Available ,Available ,true,true,true
2024.04,CC.8.10.2,Card Management ,,Order new card,Order a new virtual card,Available ,Available ,true,true,true
2024.04,CC.8.12.1,Card Management ,,Security controls,"Block/unblock specific card transactions (ATM withdrawals, In-store Payments, Online Payments)",Available ,Available ,true,true,true
2025.01,CC.8.13.1,Card Management ,,External Authorization Service,Facilates the authentication of external authorization requests with internal Identity services - used for 3D Secure use case,NA,NA,true,true,true
2025.01,CC.8.14.1,Card Management ,Essential,Add card to wallet,Add card to Apple Pay (iphone and Apple watch),Not Available,NA,,true,true
2025.04,CC.8.14.2,Card Management ,Essential,Add card to wallet ,Add card to Google Pay,Not Available,NA,,true,true
2025.04,CC.8.15.1,Card Management ,Essential,Secure card details,"View card primary account number (PAN), CVV and expiry date",Not Available,Not Available,,true,true
2025.04,CC.8.15.2,Card Management ,Essential,Secure card details,View card PIN,Not Available,Not Available,,true,true
2025.04,CC.8.16.1,Card Management ,Premium,Token Manager,View the list of tokens,Not Available,Not Available,false,false,false
,CC.8.16.2,Card Management ,Premium,Token Manager,Pause token,Not Available,Not Available,false,false,false
,CC.8.16.3,Card Management ,Premium,Token Manager,Resume token,Not Available,Not Available,false,false,false
,CC.8.16.4,Card Management ,Premium,Token Manager,Delete token,Not Available,Not Available,false,false,false
,CC.9.1.1,Stop Checks ,,Create Stop Check request,Submit a stop check request for one or multiple checks,NA,Available ,false,true,true
2022.08-LTS or earlier,CC.9.1.2,Stop Checks ,,View Stop Check requests ,View list of stop check requests,NA,Available ,false,true,true
